l=2, n=69, t=5, Greedy Time: 0.3130 seconds, B&B Time: 0.0000 seconds
l=2, n=70, t=2, Greedy Time: 0.0780 seconds, B&B Time: 0.0010 seconds
l=2, n=70, t=3, Greedy Time: 0.1380 seconds, B&B Time: 0.0010 seconds
l=2, n=70, t=4, Greedy Time: 0.2410 seconds, B&B Time: 0.0010 seconds
l=2, n=70, t=5, Greedy Time: 0.2910 seconds, B&B Time: 0.0010 seconds
l=2, n=71, t=2, Greedy Time: 0.0510 seconds, B&B Time: 0.0000 seconds
l=2, n=71, t=3, Greedy Time: 0.1110 seconds, B&B Time: 0.0010 seconds
l=2, n=71, t=4, Greedy Time: 0.2800 seconds, B&B Time: 0.0010 seconds
l=2, n=71, t=5, Greedy Time: 0.3240 seconds, B&B Time: 0.0010 seconds
l=2, n=72, t=2, Greedy Time: 0.0980 seconds, B&B Time: 0.0030 seconds
l=2, n=72, t=3, Greedy Time: 0.1706 seconds, B&B Time: 0.0010 seconds
l=2, n=72, t=4, Greedy Time: 0.1970 seconds, B&B Time: 0.0010 seconds
l=2, n=72, t=5, Greedy Time: 0.2900 seconds, B&B Time: 0.0010 seconds
l=2, n=73, t=2, Greedy Time: 0.0590 seconds, B&B Time: 0.0010 seconds
l=2, n=73, t=3, Greedy Time: 0.1451 seconds, B&B Time: 0.0010 seconds
l=2, n=73, t=4, Greedy Time: 0.3400 seconds, B&B Time: 0.0040 seconds
l=2, n=73, t=5, Greedy Time: 0.3496 seconds, B&B Time: 0.0010 seconds
l=2, n=74, t=2, Greedy Time: 0.0910 seconds, B&B Time: 0.0010 seconds
l=2, n=74, t=3, Greedy Time: 0.1720 seconds, B&B Time: 0.0030 seconds
l=2, n=74, t=4, Greedy Time: 0.3065 seconds, B&B Time: 0.0030 seconds
l=2, n=74, t=5, Greedy Time: 0.3330 seconds, B&B Time: 0.0030 seconds
l=2, n=75, t=2, Greedy Time: 0.1070 seconds, B&B Time: 0.0030 seconds
l=2, n=75, t=3, Greedy Time: 0.1962 seconds, B&B Time: 0.0010 seconds
l=2, n=75, t=4, Greedy Time: 0.3210 seconds, B&B Time: 0.0030 seconds
l=2, n=75, t=5, Greedy Time: 0.3040 seconds, B&B Time: 0.0010 seconds
l=2, n=76, t=2, Greedy Time: 0.0620 seconds, B&B Time: 0.0010 seconds
l=2, n=76, t=3, Greedy Time: 0.1370 seconds, B&B Time: 0.0020 seconds
l=2, n=76, t=4, Greedy Time: 0.2890 seconds, B&B Time: 0.0010 seconds
l=2, n=76, t=5, Greedy Time: 0.2862 seconds, B&B Time: 0.0010 seconds
l=2, n=77, t=2, Greedy Time: 0.0630 seconds, B&B Time: 0.0000 seconds
l=2, n=77, t=3, Greedy Time: 0.1910 seconds, B&B Time: 0.0010 seconds
l=2, n=77, t=4, Greedy Time: 0.2770 seconds, B&B Time: 0.0010 seconds
l=2, n=77, t=5, Greedy Time: 0.3960 seconds, B&B Time: 0.0010 seconds
l=2, n=78, t=2, Greedy Time: 0.0830 seconds, B&B Time: 0.0010 seconds
l=2, n=78, t=3, Greedy Time: 0.2110 seconds, B&B Time: 0.0010 seconds
l=2, n=78, t=4, Greedy Time: 0.2851 seconds, B&B Time: 0.0010 seconds
l=2, n=78, t=5, Greedy Time: 0.4110 seconds, B&B Time: 0.0010 seconds
l=2, n=79, t=2, Greedy Time: 0.0920 seconds, B&B Time: 0.0010 seconds
l=2, n=79, t=3, Greedy Time: 0.1680 seconds, B&B Time: 0.0010 seconds
l=2, n=79, t=4, Greedy Time: 0.2470 seconds, B&B Time: 0.0010 seconds
